1536		# total colors
16		# column width
# palette data r,g,b,a
0,0,0,255
0,0,0,255
210,210,210,255
0,157,241,255
0,0,0,255
210,210,210,255
0,157,241,255
67,81,112,255
0,0,0,255
0,157,241,255
67,81,112,255
0,188,0,255
0,0,0,255
67,81,112,255
0,188,0,255
98,143,188,255
0,0,0,255
0,188,0,255
98,143,188,255
67,81,112,255
0,0,0,255
98,143,188,255
67,81,112,255
98,112,157,255
0,0,0,255
67,81,112,255
98,112,157,255
210,0,0,255
0,0,0,255
98,112,157,255
210,0,0,255
210,210,0,255
0,0,0,255
210,0,0,255
210,210,0,255
224,98,174,255
0,0,0,255
210,210,0,255
224,98,174,255
188,81,112,255
0,0,0,255
224,98,174,255
188,81,112,255
157,98,224,255
0,0,0,255
188,81,112,255
157,98,224,255
112,81,188,255
0,0,0,255
157,98,224,255
112,81,188,255
0,0,0,255
0,0,0,255
112,81,188,255
0,0,0,255
0,0,98,255
0,0,0,255
0,0,0,255
0,0,98,255
0,0,0,255
0,0,0,255
0,0,98,255
0,0,0,255
210,210,210,255
67,81,112,255
0,0,0,255
210,210,210,255
0,157,241,255
0,0,0,255
0,0,0,255
67,81,112,255
0,157,241,255
0,0,0,255
0,0,0,255
210,210,210,255
0,157,241,255
0,0,0,255
0,0,98,255
67,81,112,255
0,157,241,255
0,0,0,255
210,210,210,255
224,98,174,255
188,81,112,255
0,0,0,255
210,210,210,255
157,98,224,255
112,81,188,255
98,112,157,255
210,0,0,255
0,0,0,255
0,157,241,255
0,0,0,255
0,0,0,255
210,210,210,255
67,81,112,255
0,0,0,255
210,0,0,255
0,0,0,255
67,81,112,255
67,81,112,255
0,0,0,255
98,143,188,255
0,0,0,255
67,81,112,255
210,0,0,255
98,143,188,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
67,81,112,255
98,67,98,255
143,98,143,255
157,112,157,255
174,157,174,255
210,210,210,255
98,112,157,255
157,0,0,255
210,0,0,255
255,98,0,255
241,241,0,255
255,255,255,255
112,143,174,255
157,174,210,255
0,0,0,255
0,0,0,255
67,81,112,255
67,81,112,255
98,67,98,255
143,98,143,255
157,112,157,255
174,157,174,255
210,210,210,255
67,81,112,255
157,0,0,255
255,98,0,255
241,241,0,255
255,255,255,255
112,143,174,255
157,174,210,255
0,0,0,255
0,0,0,255
67,81,112,255
67,81,112,255
67,81,112,255
98,67,98,255
143,98,143,255
157,112,157,255
210,210,210,255
67,81,112,255
67,81,112,255
255,98,0,255
241,241,0,255
255,255,255,255
112,143,174,255
157,174,210,255
0,0,0,255
0,0,0,255
67,81,112,255
67,81,112,255
67,81,112,255
67,81,112,255
67,81,112,255
67,81,112,255
98,112,157,255
67,81,112,255
67,81,112,255
255,98,0,255
241,241,0,255
255,255,255,255
112,143,174,255
157,174,210,255
0,0,0,255
0,0,0,255
67,81,112,255
98,67,98,255
143,98,143,255
157,112,157,255
174,157,174,255
241,241,0,255
98,112,157,255
157,0,0,255
210,0,0,255
255,98,0,255
210,0,0,255
255,255,255,255
112,143,174,255
157,174,210,255
0,0,0,255
0,0,0,255
67,81,112,255
98,67,98,255
143,98,143,255
157,112,157,255
174,157,174,255
210,0,0,255
98,112,157,255
157,0,0,255
210,0,0,255
255,98,0,255
210,210,210,255
255,255,255,255
112,143,174,255
157,174,210,255
0,0,0,255
0,0,0,255
67,81,112,255
67,81,112,255
98,112,157,255
112,143,174,255
157,174,210,255
210,210,210,255
98,112,157,255
157,0,0,255
210,0,0,255
255,98,0,255
241,241,0,255
255,255,255,255
112,143,174,255
157,174,210,255
0,0,0,255
0,0,0,255
67,81,112,255
98,67,98,255
143,98,143,255
157,112,157,255
210,0,0,255
210,210,210,255
98,112,157,255
157,0,0,255
210,0,0,255
255,98,0,255
241,241,0,255
255,255,255,255
112,143,174,255
157,174,210,255
0,0,0,255
0,0,0,255
67,81,112,255
98,67,98,255
143,98,143,255
157,112,157,255
174,157,174,255
210,210,210,255
98,112,157,255
255,98,0,255
241,241,0,255
255,98,0,255
241,241,0,255
255,255,255,255
112,143,174,255
157,174,210,255
0,0,0,255
0,0,0,255
98,67,98,255
98,67,98,255
143,98,143,255
157,112,157,255
210,0,0,255
210,210,210,255
143,98,143,255
157,0,0,255
210,0,0,255
255,98,0,255
241,241,0,255
255,255,255,255
157,112,157,255
174,157,174,255
0,0,0,255
0,0,0,255
0,0,0,255
98,67,98,255
98,67,98,255
143,98,143,255
157,112,157,255
157,174,210,255
67,81,112,255
157,0,0,255
210,0,0,255
210,0,0,255
241,241,0,255
210,210,210,255
98,112,157,255
112,143,174,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
98,67,98,255
98,67,98,255
143,98,143,255
112,143,174,255
0,0,0,255
0,0,0,255
157,0,0,255
157,0,0,255
241,241,0,255
210,210,210,255
67,81,112,255
98,112,157,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
98,67,98,255
98,67,98,255
98,112,157,255
0,0,0,255
0,0,0,255
0,0,0,255
157,0,0,255
241,241,0,255
210,210,210,255
0,0,0,255
67,81,112,255
0,0,0,255
0,0,0,255
98,67,98,255
98,67,98,255
143,98,143,255
157,112,157,255
210,0,0,255
210,210,210,255
143,98,143,255
255,98,0,255
241,241,0,255
255,98,0,255
241,241,0,255
255,255,255,255
157,112,157,255
174,157,174,255
0,0,0,255
0,0,0,255
67,81,112,255
98,67,98,255
143,98,143,255
157,112,157,255
210,0,0,255
210,210,210,255
98,112,157,255
67,81,112,255
98,112,157,255
112,143,174,255
157,174,210,255
255,255,255,255
112,143,174,255
157,174,210,255
0,0,0,255
0,0,0,255
67,81,112,255
98,67,98,255
143,98,143,255
157,112,157,255
210,0,0,255
210,210,210,255
98,112,157,255
157,0,0,255
210,0,0,255
255,98,0,255
241,241,0,255
255,255,255,255
112,143,174,255
157,174,210,255
0,0,0,255
0,0,0,255
67,31,0,255
98,45,0,255
143,81,0,255
157,98,67,255
157,112,81,255
98,81,67,255
112,98,81,255
0,0,0,255
67,31,0,255
98,45,0,255
143,81,0,255
157,98,67,255
112,67,0,255
98,81,67,255
112,98,81,255
0,0,0,255
67,31,0,255
98,45,0,255
143,81,0,255
81,45,0,255
112,67,0,255
98,81,67,255
112,98,81,255
0,0,0,255
67,31,0,255
98,45,0,255
143,81,0,255
157,98,67,255
112,67,0,255
81,81,112,255
98,98,143,255
0,0,0,255
112,112,157,255
67,67,98,255
143,81,0,255
157,98,67,255
157,112,81,255
81,81,112,255
98,98,143,255
0,0,0,255
112,112,157,255
98,45,0,255
143,81,0,255
157,98,67,255
157,112,81,255
98,81,67,255
112,98,81,255
0,0,0,255
112,112,157,255
67,67,98,255
0,0,0,255
157,98,67,255
157,112,81,255
98,81,67,255
112,98,81,255
0,0,0,255
67,31,0,255
67,67,98,255
0,0,0,255
157,98,67,255
112,67,0,255
98,81,67,255
112,98,81,255
0,0,0,255
112,112,157,255
67,67,98,255
0,0,0,255
157,98,67,255
112,67,0,255
81,81,112,255
98,98,143,255
0,0,0,255
112,112,157,255
67,67,98,255
143,81,0,255
157,98,67,255
157,112,81,255
98,81,67,255
98,98,143,255
0,0,0,255
67,31,0,255
98,45,0,255
0,0,0,255
157,98,67,255
157,112,81,255
98,81,67,255
112,98,81,255
0,0,0,255
112,112,157,255
98,45,0,255
143,81,0,255
157,98,67,255
157,112,81,255
81,81,112,255
112,98,81,255
0,0,0,255
157,98,67,255
0,0,0,255
112,67,0,255
98,81,67,255
0,0,0,255
0,0,0,255
0,0,0,255
98,98,143,255
98,98,143,255
98,98,143,255
98,98,143,255
98,98,143,255
98,98,143,255
98,98,143,255
98,98,143,255
0,0,0,255
67,31,0,255
98,45,0,255
0,0,0,255
157,98,67,255
112,67,0,255
98,81,67,255
0,0,0,255
98,98,143,255
98,98,143,255
98,98,143,255
98,98,143,255
98,98,143,255
98,98,143,255
98,98,143,255
98,98,143,255
0,0,0,255
112,112,157,255
67,67,98,255
0,0,0,255
81,45,0,255
112,67,0,255
81,81,112,255
98,98,143,255
0,0,0,255
157,112,81,255
98,81,67,255
0,0,0,255
112,98,81,255
112,112,157,255
67,67,98,255
0,0,0,255
81,45,0,255
112,67,0,255
81,81,112,255
98,98,143,255
67,31,0,255
98,45,0,255
143,81,0,255
157,98,67,255
0,0,0,255
98,81,67,255
0,0,0,255
112,98,81,255
112,112,157,255
67,67,98,255
0,0,0,255
81,45,0,255
112,67,0,255
81,81,112,255
98,98,143,255
67,31,0,255
98,45,0,255
143,81,0,255
157,98,67,255
157,112,81,255
0,0,0,255
0,0,0,255
112,98,81,255
112,112,157,255
67,67,98,255
0,0,0,255
81,45,0,255
112,67,0,255
81,81,112,255
98,98,143,255
67,31,0,255
98,45,0,255
143,81,0,255
157,98,67,255
157,112,81,255
98,81,67,255
0,0,0,255
112,98,81,255
112,112,157,255
67,67,98,255
0,0,0,255
81,45,0,255
112,67,0,255
81,81,112,255
98,98,143,255
67,31,0,255
98,45,0,255
143,81,0,255
157,98,67,255
157,112,81,255
